display  D   display_settings.c:191  debug_display_settings           [   0.21607] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21610] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21612] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21614] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21616] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21619] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21621] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21624] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21626] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21628] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21630] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21633] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21635] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21638] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21640] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21649] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21652] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21655] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21657] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21659] Single Buffer requirement not met.
